ID,Name(Romaji),Name(Localised),Gender,Type,Position,Alt Position,Element,Preferred Playstyle,Total Stats,usage_rate
1,Mamoru Endo,Mark Evans,Male,Player,GK,FW,Mountain,Justice,689,0.0
2,Shuya Goenji,Axel Blaze,Male,Player,FW,MF,Fire,Justice,692,0.0
5,Heigoro Kabeyama,Jack Wallside,Male,Player,DF,MF,Mountain,Justice,691,0.0
6,Ichirota Kazemaru,Nathan Swift,Male,Player,DF,MF,Wind,Justice,691,0.0
7,Ryugo Someoka,Kevin Dragonfly,Male,Player,FW,MF,Forest,Tension,682,0.0
8,Teppei Kurimatsu,Tod Ironside,Male,Player,DF,MF,Fire,Counter,674,0.0
9,Shinichi Handa,Steve Grim,Male,Player,MF,DF,Wind,Justice,684,0.0
10,Kusuke Matsuno,Maxwell Carson,Male,Player,FW,MF,Wind,Tension,682,0.0
11,Ayumu Shorinji,Tim Saunders,Male,Player,MF,DF,Forest,Bond,684,0.0
12,Sakichi Shishido,Sam Kincaid,Male,Player,MF,DF,Fire,Bond,684,0.0
13,Jin Kageno,Jim Wraith,Male,Player,DF,GK,Forest,Justice,674,0.0
14,Kakeru Megane,William Glass,Male,Player,FW,MF,Forest,Justice,683,0.0
15,Kazuya Ichinose,Erik Eagle,Male,Player,MF,FW,Forest,Bond,684,0.0
16,Asuka Domon,Bobby Shearer,Male,Player,DF,MF,Forest,Tension,674,0.0
17,Aki Kino,Silvia Woods,Female,Coordinator,GK,DF,Mountain,Tension,689,0.0
18,Haruna Otonashi,Celia Hills,Female,Coordinator,MF,DF,Wind,Bond,693,0.0
19,Natsumi Raimon,Nelly Raimon,Female,Coordinator,FW,MF,Fire,Bond,692,0.0
20,Kojiro Genda,Joseph King,Male,Player,GK,MF,Fire,Breach,689,0.0
21,Densuke Ono,Peter Drent,Male,Player,DF,FW,Mountain,Rough Play,672,0.0
22,Kazumichi Banjo,Ben Simmons,Male,Player,DF,MF,Forest,Justice,671,0.0
23,Kenya Narukami,Alan Master,Male,Player,MF,DF,Wind,Breach,672,0.0
24,Masaru Gojo,Gus Martin,Male,Player,DF,MF,Forest,Bond,674,0.0
25,Wataru Henmi,Herman Waldon,Male,Player,MF,FW,Wind,Rough Play,672,0.0
26,Shuji Sakiyama,John Bloom,Male,Player,MF,FW,Fire,Tension,672,0.0
27,Shuichiro Domen,Derek Swing,Male,Player,MF,FW,Wind,Counter,672,0.0
28,Daiki Jimon,Daniel Hatch,Male,Player,FW,DF,Forest,Rough Play,672,0.0
29,Yuto Kido,Jude Sharp,Male,Player,MF,FW,Wind,Justice,693,0.0
30,Jiro Sakuma,David Samford,Male,Player,FW,MF,Forest,Counter,692,0.0
31,Yuhei Hyodo,Bob Carlton,Male,Player,GK,DF,Forest,Justice,656,0.0
32,Kazuki Ena,Cliff Tomlinson,Male,Player,FW,MF,Wind,Breach,665,0.0
33,Kei Mukumoto,Jim Lawrenson,Male,Player,FW,MF,Wind,Tension,666,0.0
34,Shodai Shibuki,Barry Potts,Male,Player,MF,FW,Wind,Rough Play,667,0.0
35,Seiji Okusu,Steve Ingham,Male,Player,FW,MF,Mountain,Bond,665,0.0
36,Reiji Kageyama,Ray Dark,Male,Manager,MF,FW,Wind,Tension,672,0.0
37,Masaru Anzai,Stephen Black,Male,Coach,DF,MF,Forest,Tension,663,0.0
38,Juzo Nata,Nathan Jones,Male,Player,GK,MF,Wind,Rough Play,667,0.0
39,Wataru Sanzu,Russell Walk,Male,Player,DF,FW,Forest,Justice,663,0.0
40,Shigeru Yanagida,Jason Jones,Male,Player,DF,MF,Wind,Bond,663,0.0
41,Ken Furan,Ken Furan,Male,Player,DF,GK,Mountain,Rough Play,663,0.0
42,Fujimi Shikabane,Jerry Fulton,Male,Player,DF,MF,Fire,Rough Play,663,0.0
43,Michihisa Reigen,Ray Mannings,Male,Player,MF,DF,Wind,Tension,667,0.0
44,Mami Kinoi,Robert Mayer,Male,Player,MF,DF,Forest,Tension,667,0.0
45,Tataru Yatsuhaka,Alexander Brave,Male,Player,MF,DF,Fire,Counter,667,0.0
46,Hiroyuki Yukoku,Johan Tassman,Male,Player,FW,DF,Forest,Rough Play,671,0.0
47,Kenichi Tsukimura,Troy Moon,Male,Player,MF,FW,Fire,Bond,667,0.0
48,Kiba Burado,Burt Wolf,Male,Player,MF,DF,Mountain,Rough Play,672,0.0
49,Matsuru Fushi,Rob Crombie,Male,Player,GK,DF,Mountain,Tension,656,0.0
50,Gen Hitogata,Chuck Dollman,Male,Player,FW,DF,Forest,Rough Play,666,0.0
51,Michi Tsuburaya,Uxley Allen,Male,Player,FW,MF,Wind,Breach,665,0.0
52,Noroi Kurogami,Phil Noir,Male,Player,FW,MF,Forest,Bond,665,0.0
53,Takao Makai,Mick Askley,Male,Player,MF,DF,Forest,Bond,667,0.0
54,Haito Jikiru,Hekyll Jyde,Male,Manager,DF,FW,Mountain,Rough Play,663,0.0
56,Honori Chochin,Lanny Tern,Female,Coordinator,GK,MF,Wind,Counter,656,0.0
57,Hyogo Inokuchi,Charlie Boardfield,Male,Player,GK,MF,Fire,Rough Play,656,0.0
58,Ryota Torii,Hugo Tallgeese,Male,Player,MF,FW,Fire,Rough Play,667,0.0
59,Takuto Uozumi,Wilson Fishman,Male,Player,DF,MF,Forest,Bond,663,0.0
60,Tatsuhito Kaeruda,Peter Johnson,Male,Player,DF,MF,Forest,Counter,663,0.0
61,Ko Shishio,Leonard O'Shea,Male,Player,DF,MF,Mountain,Rough Play,663,0.0
62,Leon Kame,Cham Lion,Male,Player,MF,DF,Wind,Breach,672,0.0
63,Seiji Owashi,Steve Eagle,Male,Player,MF,FW,Wind,Tension,667,0.0
64,Noboru Saruta,Bruce Monkey,Male,Player,MF,FW,Wind,Rough Play,667,0.0
65,Shingo Gori,Gary Lancaster,Male,Player,FW,MF,Mountain,Bond,665,0.0
66,Shoma Hebimaru,Harry Snake,Male,Player,FW,MF,Forest,Breach,665,0.0
67,Chiita Suizenji,Adrian Speed,Male,Player,FW,MF,Wind,Rough Play,671,0.0
68,Noboru Koara,Alan Coe,Male,Player,MF,FW,Forest,Justice,667,0.0
69,Takeo Ban,Philip Anders,Male,Player,FW,MF,Fire,Breach,666,0.0
70,Kumami Araigawa,Rocky Rackham,Male,Player,DF,MF,Forest,Justice,663,0.0
71,Mitsuo Nezu,Matt Mouseman,Male,Player,MF,DF,Mountain,Bond,667,0.0
72,Kuya Ushio,Chad Bullford,Male,Player,GK,MF,Fire,Tension,656,0.0
73,Kosuke Tazan,Harry Savage,Male,Manager,MF,DF,Wind,Justice,667,0.0
74,Minko Fura,Flammie Gonzalez,Female,Coordinator,FW,MF,Fire,Justice,666,0.0
75,Takeshi Sugimori,Thomas Feldt,Male,Player,GK,MF,Forest,Counter,667,0.0
77,Yu Hiroyama,Harry Leading,Male,Player,DF,MF,Wind,Breach,663,0.0
79,Tsuyoshi Hanaoka,Terry Stronger,Male,Player,DF,FW,Fire,Justice,663,0.0
